"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"36","20210511_TOP_1_0003_0001.mp4","13845","20210511_BOTTOM_1_0003_0001.mp4","13314","npz6.19","1.60716",119.97059,"2.39226","2.63736","1454.66301","20.14279","39.80133","68.42930","93.97175","492.03579","-1365.69197","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"37","20210511_TOP_1_0003_0001.mp4","13860","20210511_BOTTOM_1_0003_0001.mp4","13329","npz6.19","1.61550",198.59989,"1.02985","4.28290","1229.33200","20.74983","18.95095","73.89201","433.98973","-36.68914","-1149.59297","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"38","20210511_TOP_1_0003_0001.mp4","13867","20210511_BOTTOM_1_0003_0001.mp4","13336","npz6.19","1.61940",109.03176,"6.59010","2.01907","2140.35922","7.51095","71.68664","57.05367","279.68717","7.14762","-2121.99472","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"39","20210511_TOP_1_0003_0001.mp4","13879","20210511_BOTTOM_1_0003_0001.mp4","13348","npz6.19","1.62607",101.0698,"9.71868","1.46149","3135.25403","8.30144","56.04801","66.39743","78.10609","-445.88227","-3102.40331","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"40","20210511_TOP_1_0003_0001.mp4","13896","20210511_BOTTOM_1_0003_0001.mp4","13365","npz6.19","1.63552",92.38012,"7.32755","1.83509","2830.59420","12.15770","83.65123","75.21706","-35.82651","-595.05432","-2767.10866","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"41","20210511_TOP_1_0003_0001.mp4","13898","20210511_BOTTOM_1_0003_0001.mp4","13367","npz6.19","1.63663",110.29177,"9.23100","6.29422","3062.52373","27.07030","21.20562","34.36143","-17.82519","-1393.58993","-2727.02053","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"42","20210511_TOP_1_0003_0001.mp4","13904","20210511_BOTTOM_1_0003_0001.mp4","13373","npz6.19","1.63997",123.33529,"1.16265","3.27875","1243.89710","15.06525","82.48446","79.72330","318.28904","-56.77066","-1201.14494","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"44","20210511_TOP_1_0003_0001.mp4","13923","20210511_BOTTOM_1_0003_0001.mp4","13392","npz6.19","1.65054",114.39587,"4.10398","9.34490","1723.05985","33.33027","87.45221","73.75568","496.34500","806.22320","-1439.64616","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"45","20210511_TOP_1_0003_0001.mp4","13947","20210511_BOTTOM_1_0003_0001.mp4","13416","npz6.19","1.66388",110.99641,"4.75456","4.20734","2696.24184","7.84178","57.41640","74.73492","367.58657","14.43532","-2671.02823","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"46","20210511_TOP_1_0003_0001.mp4","13959","20210511_BOTTOM_1_0003_0001.mp4","13428","npz6.19","1.67056",126.39821,"6.53933","3.01395","3035.70322","15.90500","4.94719","59.79342","-50.67664","-830.36868","-2919.48861","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
