"sample","family","genus","species","length","number","range","frameleft","frameright","marine.region","latitude","longitude","date","time","site","location","status","depth","successful.count","successful.length","NetName","ResName","ResArea","zone","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","campaignid","project","id","scientific"
"npz6.1","Lethrinidae","Gymnocranius","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Gymnocranius spp"
"npz6.1","Lethrinidae","Lethrinus","miniatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Lethrinus miniatus"
"npz6.1","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Lethrinus nebulosus"
"npz6.1","Lethrinidae","Lethrinus","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Lethrinus spp"
"npz6.1","Lethrinidae","Unknown","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown spp"
"npz6.1","Lutjanidae","Lutjanus","sp10",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Lutjanus sp10"
"npz6.1","Monacanthidae","Eubalichthys","caeruleoguttatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Eubalichthys caeruleoguttatus"
"npz6.1","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Parupeneus chrysopleuron"
"npz6.1","Mullidae","Parupeneus","spilurus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Parupeneus spilurus"
"npz6.1","Nemipteridae","Pentapodus","nagasakiensis",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Pentapodus nagasakiensis"
"npz6.1","Ostraciidae","Unknown","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Unknown spp"
"npz6.1","Pempherididae","Pempheris","klunzingeri",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Pempheris klunzingeri"
"npz6.1","Pinguipedidae","Parapercis","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Parapercis spp"
"npz6.1","Platycephalidae","Platycephalus","spp",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Platycephalus spp"
"npz6.1","Pomacanthidae","Apolemichthys","trimaculatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Apolemichthys trimaculatus"
"npz6.1","Pomacanthidae","Chaetodontoplus","personifer",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Chaetodontoplus personifer"
"npz6.1","Pomacanthidae","Pomacanthus","semicirculatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Pomacanthus semicirculatus"
